Descripcion;Marca;Referencia;Tipo;Clase_prueba;Forma constructiva;No_Polos;Uc;In;Imax_por_polo;Iimp_por_polo;Up;Telese¤al; Precio 
DPS TIPO 1 150V 1 Polos;CITEL;DS250E-120;1;I+II;Monoblock;1;150;70;140/140;25/25;;SI; $860.000 
DPS TIPO 1 150V 2 Polos;CITEL;DS252E-120;1;I+II;Monoblock;2;150;70;280/140;50/25;;SI; $1.730.000 
DPS TIPO 1 150V 3 Polos;CITEL;DS253E-120;1;I+II;Monoblock;3;150;70;420/140;75/25;;SI; $2.600.000 
DPS TIPO 1 150V 4 Polos;CITEL;DS254E-120;1;I+II;Monoblock;4;150;70;560/140;100/25;;SI; $3.460.000 
DPS TIPO 1 150V 1 Polos;CITEL;DS250VG-120;1;I+II+III;Monoblock;1;150;30;70/70;25/25;;SI; $860.000 
DPS TIPO 1 150V 2 Polos;CITEL;DS252VG-120;1;I+II+III;Monoblock;2;150;30;140/70;50/25;;SI; $1.730.000 
DPS TIPO 1 150V 3 Polos;CITEL;DS253VG-120;1;I+II+III;Monoblock;3;150;30;210/70;75/25;;SI; $2.600.000 
DPS TIPO 1 150V 4 Polos;CITEL;DS254VG-120;1;I+II+III;Monoblock;4;150;30;280/70;100/25;;SI; $3.460.000 
DPS TIPO 1 550V 1 Polos;CITEL;DS150E-480;1;I;Monoblock;1;550;70;165/165;15/15;;SI; $1.200.000 
DPS TIPO 1 550V 2 Polos;CITEL;DS152E-480;1;I;Monoblock;2;550;70;330/165;30/15;;SI; $2.375.000 
DPS TIPO 1 550V 3 Polos;CITEL;DS153E-480;1;I;Monoblock;3;550;70;495/165;45/15;;SI; $3.565.000 
DPS TIPO 1 550V 4 Polos;CITEL;DS154E-480;1;I;Monoblock;4;550;70;660/165;60/15;;SI; $4.750.000 
DPS TIPO 1 150V 1 Polos;CITEL;DS150VG-120;1;I;Monoblock;1;150;20;40/40;15/15;;SI; $850.000 
DPS TIPO 1 150V 2 Polos;CITEL;DS152VG-120;1;I;Monoblock;2;150;20;80/40;30/15;;SI; $1.700.000 
DPS TIPO 1 150V 3 Polos;CITEL;DS153VG-120;1;I;Monoblock;3;150;20;120/40;45/15;;SI; $2.550.000 
DPS TIPO 1 150V 4 Polos;CITEL;DS154VG-120;1;I;Monoblock;4;150;20;160/40;60/15;;SI; $3.400.000 
DPS TIPO 2 150V 1 Polos;CITEL;DS71R-120;2;II;Enchufable;1;150;30;70/70;NA;1,8;NO; $475.000 
DPS TIPO 2 150V 2 Polos;CITEL;DS72R-120;2;II;Enchufable;2;150;30;140/70;NA;1,8;NO; $955.000 
DPS TIPO 2 150V 3 Polos;CITEL;DS73R-120;2;II;Enchufable;3;150;30;210/70;NA;1;NO; $1.430.000 
DPS TIPO 2 150V 4 Polos;CITEL;DS74R-120;2;II;Enchufable;4;150;30;280/70;NA;1;NO; $1.905.000 
DPS TIPO 2 150V 1 Polos;CITEL;DS41-120;2;II;Enchufable;1;150;20;40/40;NA;0,9;NO; $255.000 
DPS TIPO 2 150V 2 Polos;CITEL;DS42-120;2;II;Enchufable;2;150;20;80/40;NA;0,9;NO; $512.000 
DPS TIPO 2 150V 3 Polos;CITEL;DS43-120;2;II;Enchufable;3;150;20;120/40;NA;0,9;NO; $770.000 
DPS TIPO 2 150V 4 Polos;CITEL;DS44-120;2;II;Enchufable;4;150;20;160/40;NA;0,9;NO; $1.025.000 
DPS TIPO 2 150V 4 Polos;CITEL;DS440-120;2;II;Enchufable/compacto;4;150;20;160/40;NA;0,9;NO; $875.000 
DPS TIPO 2 520V 1 Polos;CITEL;DS41-480;2;II;Enchufable;1;520;20;40/40;NA;2,5;NO; $375.000 
DPS TIPO 2 520V 2 Polos;CITEL;DS42-480;2;II;Enchufable;2;520;20;80/40;NA;2,5;NO; $755.000 
DPS TIPO 2 520V 3 Polos;CITEL;DS43-480;2;II;enchufable;3;520;20;120/40;NA;2,5;NO; $1.140.000 
DPS TIPO 2 520V 4 Polos;CITEL;DS44-480;2;II;Enchufable;4;520;20;160/40;NA;2,5;NO; $1.500.000 
DPS TIPO 2 150V 2 Polos;CITEL;DS98-120;2;II+III;Monoblock;2;150;5;20/10;1,8;0,7;NO; $290.000 
