Descripcion;Marca;Referencia;Aplicaci¢n;In;Tension;IR;Dimensiones;Tipo;clase; Precio 
Fusible FV 1A 1000V;BUSSMANN;PV-1A10F;FV;1;1000;33;10,3x38,1;NH;; $52.000 
Fusible FV 5A 1000V;BUSSMANN;PV-5A10F;FV;5;1000;33;10,3x38,1;NH;; $47.000 
Fusible FV 10A 1000V;BUSSMANN;PV-10A10F;FV;10;1000;33;10,3x38,1;NH;; $52.000 
Fusible FV 15A 1000V;BUSSMANN;PV-15A10F;FV;15;1000;33;10,3x38,1;NH;; $47.000 
Fusible FV 20A 1000V;BUSSMANN;PV-20A10F;FV;20;1000;33;10,3x38,1;NH;; $60.000 
Fusible FV 25A 1000V;BUSSMANN;PV-25A10F;FV;25;1000;33;10,3x38,1;NH;; $47.000 
Fusible FV 25A 1000V;BUSSMANN;PV-25A14F;FV;25;1000;33;10,3x38,1;NH;; $62.000 
Fusible FV 32A 1000V;BUSSMANN;PV-32A14F;FV;32;1000;33;10,3x38,1;NH;; $50.000 
Fusible FV 40A 1000V;BUSSMANN;PV-40ANH1;FV;40;1000;33;10,3x38,1;NH;; $47.000 
Fusible FV 50A 1000V;BUSSMANN;PV-50ANH1;FV;50;1000;33;10,3x38,1;NH;; $47.000 
Fusible FV 63A 1000V;BUSSMANN;PV63ANH1;FV;63;1000;33;10,3x38,1;NH;; $56.000 
