Descripcion;Marca;Referencia;Aplicaci�n;Tipo_Tam;No_polos;No_polos_letras;Tension;Tension_2;In;Icn;Icn_2; Precio 
Mini Interruptor Automatico Monopolar AC 1X1A 220V 6kA;CHINT;NB1-63 1P 1A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;1;6;0;16400
Mini Interruptor Automatico Monopolar AC 1X2A 220V 6kA;CHINT;NB1-63 1P 2A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;2;6;0;16400
Mini Interruptor Automatico Monopolar AC 1X3A 220V 6kA;CHINT;NB1-63 1P 3A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;3;6;0;16400
Mini Interruptor Automatico Monopolar AC 1X4A 220V 6kA;CHINT;NB1-63 1P 4A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;4;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X6A 220V 6kA;CHINT;NB1-63 1P 6A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;6;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X10A 220V 6kA;CHINT;NB1-63 1P 10A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;10;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X16A 220V 6kA;CHINT;NB1-63 1P 16A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;16;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X20A 220V 6kA;CHINT;NB1-63 1P 20A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;20;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X25A 220V 6kA;CHINT;NB1-63 1P 25A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;25;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X32A 220V 6kA;CHINT;NB1-63 1P 32A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;32;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X40A 220V 6kA;CHINT;NB1-63 1P 40A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;40;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X50A 220V 6kA;CHINT;NB1-63 1P 50A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;50;6;0;16000
Mini Interruptor Automatico Monopolar AC 1X63A 220V 6kA;CHINT;NB1-63 1P 63A;AC;Mini Interruptor Automatico;1;Monopolar;220;400;63;6;0;16000
